nome_curso;modalidade_ensino;ingressantes_2009;ingressantes_2010;ingressantes_2011;ingressantes_2012;ingressantes_2013;ingressantes_2014;ingressantes_2015;ingressantes_2016;ingressantes_2017;ingressantes_2018;concluintes_2009;concluintes_2010;concluintes_2011;concluintes_2012;concluintes_2013;concluintes_2014;concluintes_2015;concluintes_2016;concluintes_2017;concluintes_2018
ADMINISTRAÇÃO - SISTEMAS DE INFORMAÇÕES GERENCIAIS;Presencial;;1.0;;;;;;;;;;29.0;;;;;;;;
ADMINISTRAÇÃO - TRANSPORTE E LOGÍSTICA;Presencial;;;37.0;;;;;;;;;;21.0;;;;;;;
ADMINISTRAÇÃO COM HABILITAÇÃO EM ADMINISTRAÇÃO DE EMPRESAS;Presencial;;74.0;14.0;;;;3.0;;;;;123.0;116.0;;;;18.0;;;
ADMINISTRAÇÃO DA PRODUÇÃO E OPERAÇÕES;Presencial;;2.0;;;;;;;;;;7.0;;;;;;;;
ADMINISTRAÇÃO DE EMPRESAS;Presencial;;948.0;793.0;745.0;767.0;718.0;639.0;508.0;570.0;508.0;;549.0;554.0;313.0;421.0;325.0;324.0;242.0;305.0;257.0
ADMINISTRAÇÃO DE EMPRESAS - COMÉRCIO INTERNACIONAL;Presencial;;123.0;139.0;;;;;;;;;97.0;86.0;;;;;;;
ADMINISTRAÇÃO DE EMPRESAS - EMPREENDEDORISMO;Presencial;;96.0;138.0;;;;;;;;;47.0;63.0;;;;;;;
ADMINISTRAÇÃO DE RECURSOS HUMANOS;Presencial;;5162.0;5741.0;3896.0;3586.0;2323.0;1231.0;529.0;227.0;110.0;;1334.0;1396.0;1471.0;1440.0;1445.0;1271.0;866.0;364.0;150.0
ADMINISTRAÇÃO EM COMÉRCIO EXTERIOR;Presencial;;8.0;5.0;;;;1.0;;;;;90.0;34.0;;;;0.0;;;
ADMINISTRAÇÃO EM GESTÃO ORGANIZACIONAL;Presencial;;118.0;103.0;95.0;;;;;;;;17.0;46.0;32.0;;;;;;
ADMINISTRAÇÃO EM SISTEMAS E SERVIÇOS DE SAÚDE;Presencial;;31.0;41.0;38.0;37.0;42.0;35.0;51.0;44.0;62.0;;26.0;13.0;8.0;30.0;6.0;13.0;11.0;6.0;10.0
ADMINISTRAÇÃO HOSPITALAR E SERVIÇOS DE SAÚDE;Presencial;;53.0;4.0;45.0;47.0;18.0;;;;;;16.0;14.0;14.0;20.0;29.0;;;;
ADMINISTRAÇÃO PÚBLICA;Presencial;;683.0;795.0;2259.0;1059.0;1155.0;1244.0;1323.0;1542.0;1417.0;;184.0;206.0;259.0;258.0;294.0;404.0;525.0;538.0;706.0
ADMINISTRAÇÃO PÚBLICA E POLÍTICAS PÚBLICAS;Presencial;;;;;;;49.0;53.0;61.0;62.0;;;;;;;0.0;0.0;0.0;0.0
